,IMB211_DP_REP1,IMB211_DP_REP2,IMB211_DP_REP3,IMB211_NDP_REP1,IMB211_NDP_REP2,IMB211_NDP_REP3,R500_DP_REP1,R500_DP_REP2,R500_DP_REP3,R500_NDP_REP1,R500_NDP_REP2,R500_NDP_REP3
Bra001642,366,76,358,880,402,616,922,801,934,490,744,498
Bra010085,40,24,50,8,14,14,28,29,15,17,29,30
Bra004946,92,35,88,4,10,42,31,54,39,28,55,41
Bra025359,402,65,500,2234,844,922,2738,1474,1315,1248,1220,1317
Bra034030,110,80,141,6,24,16,17,56,16,20,28,12
Bra008371,40,11,42,17,8,21,22,38,20,24,52,40
Bra009840,12,NA,22,126,44,94,132,72,124,114,110,183
Bra013657,61,6,52,2,5,13,3,8,10,6,12,8
Bra015694,118,32,66,23,30,41,25,23,26,23,37,25
Bra005735,954,280,831,246,234,454,1053,1856,1508,1050,1736,1404
Bra022827,876,402,1032,970,668,1599,1120,376,416,155,109,118
Bra018209,95,24,66,23,28,30,100,98,100,90,93,90
Bra024459,7,NA,5,NA,NA,NA,36,53,29,65,21,48
Bra016498,137,26,86,94,163,65,68,51,61,13,14,16
Bra028150,106,12,90,168,116,139,448,272,350,200,202,209
Bra038785,136,31,104,6,17,24,44,60,20,35,17,35
Bra023802,4,1,1,14,4,16,19,12,26,5,10,9
Bra006293,NA,NA,NA,6,5,7,10,42,27,14,37,16
Bra028523,892,372,849,160,284,174,157,209,94,116,108,116
Bra000754,128,11,109,13,25,11,20,41,34,24,33,32
Bra038321,787,208,708,790,534,840,1144,648,728,302,268,251
Bra019742,1,NA,NA,7,5,24,428,1889,1783,1110,1954,1398
Bra031771,211,48,85,317,216,190,278,345,672,201,167,164
Bra019357,264,68,212,48,61,94,153,220,110,86,143,135
Bra011961,1170,456,1140,321,286,644,296,344,362,242,308,316
Bra024675,10,4,8,44,24,56,158,92,55,94,80,66
Bra008780,831,174,628,300,550,821,428,392,237,92,62,26
Bra010283,176,41,100,15,35,33,60,82,59,39,40,69
Bra015323,10,4,14,75,18,44,168,240,154,136,234,132
Bra005469,1330,401,842,1317,1047,1046,1882,684,1151,271,428,322
Bra012607,418,154,219,941,538,677,599,340,312,242,196,223
Bra034140,9,1,36,106,44,66,140,344,182,155,173,174
Bra000534,376,156,531,58,92,173,126,154,100,92,93,75
Bra012597,7,1,18,62,18,54,33,38,27,27,21,14
Bra028400,18,1,12,24,38,80,258,339,404,286,296,364
Bra030116,270,38,146,314,298,328,492,801,476,300,478,374
Bra004581,101,5,139,807,216,553,217,270,130,158,254,237
Bra009182,38,8,33,19,20,41,36,16,21,2,6,NA
Bra101149,NA,1,8,60,29,124,10,4,1,6,4,6
Bra027206,200,40,222,396,305,358,426,514,336,294,392,286
Bra006173,62,8,43,10,6,9,8,16,9,11,8,13
